ulasan,rating,tangibles,reliability,emphaty,assurance,kategori
dosen meminta kelas ganti sepihak mengganggu jadwal,1,1,1,1,1,"tangibles, reliability, emphaty, assurance"
dosen milik wawas pengetahuan luas berkualitas kurang sampai materi mahasiswa mahasiswa mengalami kesulitan mengikuti ajar,1,1,1,1,1,"tangibles, reliability, emphaty, assurance"
fasilitas lumayan memuaskan kursi baik ac proyektor baik baik materi baik membantu memahami belum erti staf sabar parkir luas hanya kurang kantin tempat lebih terjaga bersih kilas cantik dalam dukung sulit jaringan lab tersedia susun rapi cuman perlu perbaikan lebih lanjut,4,1,1,0,1,"tangibles, reliability, assurance"
toilet bersih harum lab bagus keren unik parkir luas aman ruang ibdah bagus bersih,5,1,1,0,1,"tangibles, reliability, assurance"
dosen baik disiplin tidak telat tpi telat dosen aja,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
ramah frendly tidak individualisme egois memahami membantu sama lain milik solidaritas tinggi tidak membenci satu sama lain bersatu,5,1,0,0,0,tangibles
membantu mahasiswa apa lagi masalah bidang akademik,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
sadar memahami satu sama lain,5,1,0,0,0,tangibles
pelayanan fasilkom-ti baik mana tempuh didik fasilitas ruang kelas rapi bersih,4,1,1,0,1,"tangibles, reliability, assurance"
sering melihat ruang rutin bersih,4,1,1,0,1,"tangibles, reliability, assurance"
belajar maksimal,4,0,0,0,0,umum
fasilitas ac proyektor fungsi baik,4,1,1,0,1,"tangibles, reliability, assurance"
toilet sering bersih tidak timbul bau menyengat hendak buang air kecil buang air besar atapun dar cuci muka tetap nyaman,4,1,0,0,0,tangibles
ruang kuliah fasilkom-ti nyaman menunjang ajar,5,1,1,0,1,"tangibles, reliability, assurance"
mana ruang kelas milik ac baik tidak ac rusak ruang nyaman ajar,5,1,1,0,1,"tangibles, reliability, assurance"
laboratorium milik komputer spesifikasi bagus praktikum laboratorium menyediakan internet cepat praktikum penggunaan internet tidak terjadi kendala,5,0,0,0,0,umum
lantai fasilkom-ti milik toilet bersih mana bersih rutin menjaga bersih toilet agar mahasiswa toilet nyaman,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
kualitas ajar baik mana dosen milik pengetahuan tinggi materi,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
dosen milik sendiri ajar ajar tidak hanya satu arah mahasiswa turut ambil bagian membuat pembejalaran tidak membosankan,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
modul lengkap mudah paham,5,0,0,0,0,umum
mahasiswa mengerti materi baik,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
kualitas layanan staf akademik memuaskan mana staf akademik kebutuhan menunjang maju mahasiswa bidang akademik non akademik tambah civitas akademik ramah pandang latar,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
ruang kuliah lab toilet ruang ibadah kurang memuaskan,1,1,1,0,1,"tangibles, reliability, assurance"
dosen banyak tidak hadir harus batal kuliah memindahkan jadwal lain materi oke kurang jelas,1,1,1,1,1,"tangibles, reliability, emphaty, assurance"
mahasiswa baik baik berbicara komunikasi inisiatif mahasiswa respons kurang satu sama lain mahasiswa milik sikap menang sendiri membuat mahasiswa sulit kembang tertinggal,1,1,1,1,1,"tangibles, reliability, emphaty, assurance"
kesimpulaya fakultas butuh perbaikan,1,1,1,0,0,"tangibles, reliability"
menerima pelayanan akademik berkuliah fasilkom-ti merasa kurang puas layanan akademik terkadang tidak memuaskan kerja,1,0,1,1,0,"reliability, emphaty"
tidak baik segi sikap keluh minta mahasiswa terkadang sampai marah marah mahasiswa mahasiswa sendiri tidak milik kesalahana lalai tugas rugi bagi mahasiswa terkadang menghambat aktivitas mahasiswa,1,1,1,1,1,"tangibles, reliability, emphaty, assurance"
nilai layanan akademik fasilkom-ti usu -fasilitas kampus dapatkan baik kelas nyaman kamar mandi bersih tempat ibadah minim,1,1,1,1,1,"tangibles, reliability, emphaty, assurance"
-keandalan dosen staf baik dosen proses belajar ajar baik,1,1,1,1,1,"tangibles, reliability, emphaty, assurance"
-perlakuan mahasiswa kurang baik dosen pembimbing tidak laksana -sikap tanggap kurang baik fakultas mahasiswa keringanan biaya -pemaham kepentingan mahasiswa baik,1,1,1,1,1,"tangibles, reliability, emphaty, assurance"
fasilitas fisik kampus utk ruang kuliah bagus nyaman,3,1,1,0,1,"tangibles, reliability, assurance"
milik ac tidak panas fokus belajar pintu ruang buka keluar suara tidak enak dengar lumayan sulit buka,3,1,1,0,1,"tangibles, reliability, assurance"
utk toilet toilet punya salur air bagus lampu otomatis memudahkan mahasiswa wastafel sumbat kotor cermin toilet kotor serta lampu toilet meskipun otomatis hanya satu lampu fungsi,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
tidak fungsi kata lain lampu padam mati,3,0,0,0,0,umum
menjalani kuliah fasilkom-ti usu puas kagum fakultas berusaha memahami minat bakat mahasiswa berusaha kembang,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
fakultas peduli minat bakat mahasiswa,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
grup wa stambuk pihak fakultas update tentang lomba mensharing grub wa,5,1,1,0,0,"tangibles, reliability"
tidak peduli lomba apa baik akademik non akademik,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
fakultas dukung makasiswa persiapan lomba baik,5,1,1,0,1,"tangibles, reliability, assurance"
materi dosen bagus mudah dipahamin mahasiswa dosen teliti bertanya mahasiswa satu sub bab mahasiswa paham materi tidak tidak dosen jela ulang,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
dosen pandai membuat mahasiswa berani memberi jawaban,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
dosen ramah memberi aura positif mengatakan jangan takut memberi jawaban salah benar salah nilai tambahan membuat mahasiswa semakin memberi jawaban aktif kelas,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
fasilitas dapat fasilkom-ti tidak memuaskan,1,1,1,0,1,"tangibles, reliability, assurance"
dimulai ac kelas terkadang kurang dingin kursi pakai tidak nyaman lalu komputer lab banyak rusak banyak lantai retak banyak atap bocor lantai sering basah membuat kotor bahaya orang terpleset,1,1,0,0,0,tangibles
lampu toilet banyak mati toilet gelap wastafel toilet rusak tidak menyediakan sabun cuci tangan,1,1,0,0,0,tangibles
fasilitas bagus lengkap bagi tahu,3,1,1,0,1,"tangibles, reliability, assurance"
andal belum mempunyai andal siapa andal orang sendiri diam,3,0,0,0,0,umum
laku mahasiswa baik baik mahasiswa mahasiswa dosen mahasiswa membuat senang laku,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
sikap meresponnya bagus baik,3,1,1,0,1,"tangibles, reliability, assurance"
mudah an sampai tamat amin,3,0,0,0,0,umum
paham kurang ngerti gimna ni,3,0,0,0,0,umum
kalo matkul,3,0,0,0,0,umum
belum paham kali tidak bilang gagal,3,0,0,0,0,umum
fasilkom ti gedung baik ruang kuliah nyaman ruang kdng panas ac tidak sama sekali toilet lumayan la bersih laboraorium mungkin sedikit kurang banyak komputer tidak nyala,3,1,1,0,1,"tangibles, reliability, assurance"
terkait aspek pemgajaran dosen lumayan dosen jarang masuk sebab materi tidak dpt diterima baik layanan urus berkas baik tidak masalah apa,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
menerima pelayanan fakultas merasa belum puas mana laku petugas pelayanan staf akademik mahasiswa tidak ramah membuat mahasiswa takut urus hanya dar bertanya,2,1,1,1,1,"tangibles, reliability, emphaty, assurance"
lama urus hitung lama,2,0,0,0,1,assurance
fasilitas diberika pihak fasilitas pada,2,1,1,0,1,"tangibles, reliability, assurance"
sikap tanggap staf akademik urus mahasiswa kurang kepentingan mahasiswa,2,1,1,1,1,"tangibles, reliability, emphaty, assurance"
fasilkom ti gedung kurang baik ruang kuliah nyaman ruang kdng panas ac tidak sama sekali toilet lumayan bersih laboratorium mungkin sedikit kurang banyak komputer tidak nyala,4,1,1,0,1,"tangibles, reliability, assurance"
terkait aspek pemgajaran dosen lumayan dosen jarang masuk sebab materi tidak dpt diterima baik bukan hanya dosen saja sbnrnya merungikan sekali tidak mendapat materi seharusnyaa layanan urus berkas mungkin sedikit belum memuaskan pelayanan sedkit lama,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
contoh krs siswa dielerning sks krs lama ubah print buat dikasih dosen pembimbing,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
fasilkom ti usu merasa senang pelayanan fisik pada lengkap sebentar lagi tempat ibadah bagi muslim selesai diri,5,1,0,0,1,"tangibles, assurance"
dosen ajar menyenangkan menarik serta mudah paham materi,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
mahasiswa baik serta sikap tanggap cepat,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
siswa kendala respon serta empati sigap,5,0,0,0,0,umum
merasa senang berkuliah fasilkom ti usu rasa fasilkom ti usu membantu dunia kuliah,5,1,0,0,1,"tangibles, assurance"
dosen fasilkom-ti baik ajar laku dosen baik staf fasilkom-ti cepat datang butuh ramah modul bagus mudah paham,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
kalau mahasiswa urus berkas tanggap cepat,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
mungkin saja terima kasih,5,0,0,0,0,umum
nilai pelayanan akademik fasilkom-ti jauh kata memuaskan aspek rasa butuh aktifitas layanan akademik fasilkom-ti,4,0,1,1,0,"reliability, emphaty"
segi fasilitas baik kelola kurang tambah lagi tidak tempat ibadah fasilkom-ti,4,1,1,0,1,"tangibles, reliability, assurance"
segi rehability overall baik memuaskan segi modul materi segi kebutuhan akademik mahasiswa hanya saja sedikit kurang tetap dosen masuk,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
akademik fasilkom-ti bilang kurang banyak dosen menginginkan mahasiswa belajar daring pihak prodi izin melaksanakan kegiatan offline,1,1,1,1,1,"tangibles, reliability, emphaty, assurance"
bobot materi kurang tidak sesuai tugas,1,0,0,0,1,assurance
dosen tugas tidak sesuai sop deadline tidak sesuai pengumpulan lebih cepat deadline,1,1,1,1,1,"tangibles, reliability, emphaty, assurance"
tugas tergolong banyak,1,1,0,0,0,tangibles
nilai aspek memuaskan,1,0,0,0,0,umum
segi kejelasan materi dosen memuaskan,1,1,1,1,1,"tangibles, reliability, emphaty, assurance"
materi sulit paham mahasiswa penyampain materi kurang menarik efisien,1,1,1,1,1,"tangibles, reliability, emphaty, assurance"
terkadang tugas sulit mahasiswa kurang mengerti tentang penjelasan materi,1,1,1,1,1,"tangibles, reliability, emphaty, assurance"
sebab mahasiswa kesulitan mengerjakan tugas kurun,1,1,1,1,1,"tangibles, reliability, emphaty, assurance"
fasilkom-ti sesuai akreditasi,5,0,0,0,0,umum
akreditasi unggul pelayanan didik baik materi dosen jelas tugas sesuai materi deadline masuk akal tugas bobot sesuai,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
sikap tanggap dosen baik mampu membantu mahasiswa belum mengerti memahami materi bawa dosen,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
dosen pembimbing akademik mampu memahami para mahasiswa,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
nilai segi aspek fasilitas kampus memuaskan,5,1,1,0,1,"tangibles, reliability, assurance"
lingkungan kampus kelas lain bersih nyaman,5,1,1,0,0,"tangibles, reliability"
ruang kelas besar bersih rapi membuat kegiatan ajar lebih nyaman lancar,5,1,1,0,1,"tangibles, reliability, assurance"
laboratorium pada menfasilitasi kegiatan praktikum lab mahasiswa,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
moga fasilitas kampus fasilkom-ti lebih baik lagi depan agar masyarakat fasilkom-ti manfaat kebutuhan,5,1,1,0,1,"tangibles, reliability, assurance"
fasilitas fakultas ilmu komputer teknologi informasi fasilkom-ti berada area abu-abu baik kurang baik,3,1,1,0,1,"tangibles, reliability, assurance"
suasana kelas termasuk nyaman mungkin mengganggu,3,1,0,0,0,tangibles
ruang kelas sendiri tergolong luas dingin ruang kelas sedikit kurang merata,3,1,1,0,1,"tangibles, reliability, assurance"
toilet tersedia terkadang kurang bersih,3,1,0,0,0,tangibles
dosen staf baik,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
fasilitas tawar mencukupi,3,1,1,0,1,"tangibles, reliability, assurance"
fasilitas fakultas ilmu komputer teknologi informasi fasilkom-ti termasuk memuaskan berbagai fasilitas tawar,4,1,1,0,1,"tangibles, reliability, assurance"
suasana kelas termasuk nyaman fasilitas baik proyektor ruang kelas sendiri tergolong luas dingin ruang kelas sejuk,4,1,1,0,1,"tangibles, reliability, assurance"
toilet tersedia tergolong bersih,4,1,0,0,0,tangibles
dosen staf baik,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
fasilitas tawar membantu mahasiswa depan,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
fasilitas dapatkan lumayan ruang kelas luas baik serta bersih kamar mandi bersih serta air bebas ac dingin,1,1,1,0,1,"tangibles, reliability, assurance"
samping tidak puas dosen terkadang sulit hubung terkadang tidak perduli,1,1,1,1,1,"tangibles, reliability, emphaty, assurance"
sampai materi sembarangan tidak kuasa materi mahasiswa tidak mengerti apa dosen pengajar,1,1,1,1,1,"tangibles, reliability, emphaty, assurance"
laku mahasiswa terkadang tidak merata,1,1,1,1,1,"tangibles, reliability, emphaty, assurance"
aspek fasilitas fisik kampus dapatkan fasilkom ti usu tidak memuaskan,4,1,1,0,1,"tangibles, reliability, assurance"
ruang kuliah terkadang tidak dingin meja kursi kurang layak pakai papan tulis hitam,4,1,1,0,1,"tangibles, reliability, assurance"
komputer laboratorium banyak tidak ruang laboratorium panas,4,1,1,0,1,"tangibles, reliability, assurance"
lampu toilet lama tidak hidup belum ganti,4,1,0,0,0,tangibles
wastafel tidak keluar air,4,0,0,0,0,umum
lantai gelembung basah,4,0,0,0,0,umum
lantai gelembung basah,4,0,0,0,0,umum
bahaya orang jadi rentan terpeleset,4,0,0,0,0,umum
wifi lelet tidak jangkau wilayah fasilkom ti andal dosen staf akademik memuaskan,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
meskipun dosen datang tidak besar dosen datang,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
modul bagus,4,0,0,0,0,umum
dosen mudah,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
bidang laku mahasiswa baik,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
mahasiswa perlu urus berkas tanggap cepat,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
santun kurang staf akademik sedikit ketus menanggapi,4,0,1,1,0,"reliability, emphaty"
layanan akademik fasilkom-ti usu tidak memuaskan,1,0,1,1,0,"reliability, emphaty"
poin sering terjadi kekurangan kursi tidak layak pakai komputer laboratorium banyak tidak fungsi wastafel tidak fungsi lalu wifi lambat sulit jangkau bagian gedung,1,1,0,0,0,tangibles
poin poin penting bagi akademis,1,0,0,0,0,umum
dosen banyak ganti jadwal terjadi ganti jadwal tahu semua mahasiswa kelas ketidak-konsistenan tidak jarang ada kuliah online luar jam contoh 21 00,1,1,1,1,1,"tangibles, reliability, emphaty, assurance"
fasilitas fisik sebenarnya tingkat lantai retak kamar mandi kumuh proyektor miring kursi kayu dsb,2,1,1,0,1,"tangibles, reliability, assurance"
andal dosen staf akademik overall baik dosen jarang masuk kelas mungkin kurang memahami mata kuliah ajar mata kuliah sulit erti,2,1,1,1,1,"tangibles, reliability, emphaty, assurance"
laku mahasiswa baik staffnya ramah mampu menolong baik,2,1,1,1,1,"tangibles, reliability, emphaty, assurance"
belum temu bantu masalah akademik bantu bagi mahasiswa tidak mampu,2,1,1,1,1,"tangibles, reliability, emphaty, assurance"
empati lumayan baik fakultas peduli mahasiswa,2,1,1,1,1,"tangibles, reliability, emphaty, assurance"
simpul fakultas baik kualitas lumayan bagus ajar bagus,2,1,1,0,1,"tangibles, reliability, assurance"
fakultas lebih perhati hidup mahasiswa kampus tingkat kualitas infrastruktur kampus,2,1,1,1,1,"tangibles, reliability, emphaty, assurance"
berada fakultas merasa belum puas fasilitas berada fakultas,2,1,1,0,1,"tangibles, reliability, assurance"
contoh toilet kurang awat banyak toilet wanita tidak milik lampu tidak mushollah lumut trotoar samping fakultas bahaya pejal kaki jalan atas trotoar licin hujan alangkah lebih baik lumut bersih selamat pejal kaki,2,1,1,0,1,"tangibles, reliability, assurance"
laku staff tenaga pendidik mahasiswa baik,2,1,1,1,1,"tangibles, reliability, emphaty, assurance"
berada fakultas merasa puas layanan fasilitas andal dosen fakultas ilmu komputer teknologi informasi,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
fasilitas fakultas baik,5,1,1,0,1,"tangibles, reliability, assurance"
contoh ruang kelas bersih tertata,5,1,1,0,1,"tangibles, reliability, assurance"
laboratorium pada,5,0,0,0,0,umum
toilet banyak tidak perlu antri toilet,5,1,0,0,0,tangibles
lingkungan fakultas bersih,5,1,1,0,0,"tangibles, reliability"
dosen papar materi mudah paham mahasiswa,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
modul mahasiswa lengkap sebagai pegang mahasiswa ajar,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
fasilitas kamar mandi not bad ruang kuliah bagus lab kurang memenuhi standar jurus imilkom jauh bayang computer mengalami kendala tidak pakai jadi pihak kampus lebih perhati lab lagi tempat ibadah tidak buruk,3,1,1,0,1,"tangibles, reliability, assurance"
masalah materi kuliah seajauh aman mas dimngerti modul cmn satu berguna kalo masalah dosen jauh kata dosen tidak datang ngabari semua mahasiswa menunggu kelas dosen telat datang kelas 30 menit jam,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
fasilitas dapatkan baik ruang kelas belajar ajar luas nyaman toilet kurang bersih kurang pencahayaan tempat ibadah minim,2,1,1,0,1,"tangibles, reliability, assurance"
ruang laboratorium lengkap komputer baik,2,1,1,0,1,"tangibles, reliability, assurance"
dosen staf baik dosen proses belajar ajar baik,2,1,1,1,1,"tangibles, reliability, emphaty, assurance"
laku mahasiswa baik,2,1,1,1,1,"tangibles, reliability, emphaty, assurance"
dosen benar benar ajar materi baik jelas,2,1,1,1,1,"tangibles, reliability, emphaty, assurance"
dosen memberi modul e-learning mahasiwsa,2,1,1,1,1,"tangibles, reliability, emphaty, assurance"
pihak fakultas ayom mahasiswa baik mengalami kendala kuliah,2,1,1,1,1,"tangibles, reliability, emphaty, assurance"
fasilitas baik semua terawat dgn maksimal dosen materi staf membantu fakultas cepat tanggap masalah mahasiswa fakultas peduli mahasiswa kurang mampu dgn menyediakan kip fakultas berusaha memahami minat bakat mahasiswa dgn menyediakan workshop bootcamp olimpiade juara nasional lain lain modul mahasiswa membantu berguna bimbingan dosen membantu mahasiswa dgn sepenuh hati,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
kampus kurang contoh lampus kamar mandi tidak menyala air kamar mandi bocor keluar andal dosen staf akademik memuaskan,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
meskipun dosen datang tidak besar dosen datang,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
modul bagus,3,0,0,0,0,umum
dosen mudah paham,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
bidang laku mahasiswa baik,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
mahasiswa perlu urus berkas tanggap cepat,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
santun kurang staf akademik sedikit ketus menanggapi,3,0,1,1,0,"reliability, emphaty"
fasilitas dapatkan baik ruang kelas luas nyaman toilet kurang bersih kurang pencahayaan tempat ibadah minim,2,1,1,0,1,"tangibles, reliability, assurance"
ruang laboratorium lengkap komputer baik,2,1,1,0,1,"tangibles, reliability, assurance"
dosen staf baik dosen proses belajar ajar baik,2,1,1,1,1,"tangibles, reliability, emphaty, assurance"
laku mahasiswa baik,2,1,1,1,1,"tangibles, reliability, emphaty, assurance"
dosen memberi modul e-learning mahasiswa ajar,2,1,1,1,1,"tangibles, reliability, emphaty, assurance"
pihak fakultas ayom mahasiswa baik mengalami kendala kuliah,2,1,1,1,1,"tangibles, reliability, emphaty, assurance"
fasilitas dapatkan baik ruang belajar ajar luas nyaman lengkap ac ruang laboratorium lengkap komputer pada,5,1,1,0,1,"tangibles, reliability, assurance"
dosen staf baik dosen proses belajar ajar baik,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
dosen memberi modul e-learning mahasiswa,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
staf membantu staf melayani sopan santun,5,0,1,0,0,reliability
laku mahasiswa baik,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
pihak fakultas ayom mahasiswa baik mengalami kendala kuliah,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
berkuliah fasilko ti usu fasilitas kurang terutama gedung terutama lab banyak komputer tidak pakai sebagai jurus it tempat ibadah minim belom dosen tidak sesuai pikir mahasiswa dosen menuntut semua harus tau orang berbeda beda tidak harus paksa pengurus berkas fasilkom ti kurang ramah mahasiswa segan urus berkas berkas,2,1,1,1,1,"tangibles, reliability, emphaty, assurance"
nilai layanan akademik fasilkom-ti jauh kata memuaskan,2,0,1,1,0,"reliability, emphaty"
aspek rasa aktivitas butuh layanan akademik fasilkom-ti,2,0,1,1,0,"reliability, emphaty"
segi kampus kurang terumata fasilitas sedia tidak sesuai harap,2,1,1,0,1,"tangibles, reliability, assurance"
segi tidak memuaskan dosen tidak baik segi ajar,2,1,1,1,1,"tangibles, reliability, emphaty, assurance"
kurang peka mahasiswa kurang memahami materi,2,1,1,1,1,"tangibles, reliability, emphaty, assurance"
segi tidak memuaskan,2,0,0,0,0,umum
rasa proses urus berkas alami mana sering terjadinya tidak organisir prodi fakultas lama pemprosesan berkas,2,1,1,0,1,"tangibles, reliability, assurance"
kurang tepat mempersiapkan pemprosesan dokumen berkas mahasiswa kepentingan akademik,2,1,1,1,1,"tangibles, reliability, emphaty, assurance"
segi fakultas kurang peduli kesulitan alami mahasiswa,2,1,1,1,1,"tangibles, reliability, emphaty, assurance"
toilet kurang baik kurang bersih kurang pencahayaan air tidak tersedia,2,1,1,0,1,"tangibles, reliability, assurance"
tempat ibadah minim sekali,2,0,0,0,0,umum
ruang kelas panas ac ruang laboratorium komputer tidak sayang hanya pajang,2,1,1,0,1,"tangibles, reliability, assurance"
dosen tidak datang banyak urus lain baik hubung urus kampus urus individu kadang info mepet masuk tidak kelas,2,1,1,1,1,"tangibles, reliability, emphaty, assurance"
layanan akademik fasilkom ti,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
memuaskan toilet bersih hanya saja kurang bagi ruang ibadah kurang kipas angin ruang kuliah pas pas terbatas,4,1,1,0,1,"tangibles, reliability, assurance"
reability dosen baik terang materi kuliah kurang baik terang materi kuliah,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
staf akademik membantu mahasiswa kendala akademik alami mahasiswa,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
responsivenees fakultas lebih banyak membantu bagi mahasiswa kurang mampu bentuk keringanan ukt,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
empathy fakultas perhati minat bakat mahasiswa fasilkom ti,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
layanan sedia jauh harap,2,0,0,0,0,umum
kelola fasilitas kurang tambah lagi tidak tempat ibadah kantin fakultas,2,1,1,0,1,"tangibles, reliability, assurance"
segi modul materi memuaskan,2,0,0,0,1,assurance
masalah tidak suka ketidaktepatan dosen masuk kegiatan,2,1,1,1,1,"tangibles, reliability, emphaty, assurance"
terkait layanan urus berkas rasa perlu tingkat lagi terkadang berkas urus lama,2,0,0,0,1,assurance
fasilitas kampus banyak kekurangan,1,1,1,0,1,"tangibles, reliability, assurance"
toilet utk toilet cewek sekian banyak toilet hanya satu toilet lampu nyala,1,1,0,0,0,tangibles
proyektor masalah terutama salah satu ruang kelas belajar ruang tsb butuh banyak utk urus proyektor sering tidak menyala,1,1,1,0,1,"tangibles, reliability, assurance"
tiga tempat ibadah mengecewakan bagi teman muslim ibadah tetangga fkg bagi teman kristen dkk lebih sering ruang kelas utk ibadah,1,1,1,1,1,"tangibles, reliability, emphaty, assurance"
fasilitas kampus fasilkom-ti baik termasuk salah satu terbaik usu,3,1,1,0,1,"tangibles, reliability, assurance"
hanya saja oknum-oknun tidak tanggung jawab tidak milik rasa milik tidak jaga baik sampai rusak,3,1,1,0,1,"tangibles, reliability, assurance"
kuliah jurus ilmu komputer salah satu jurus terbaik usu,3,0,0,0,0,umum
fasilitas rasa memuaskan jurus,3,1,1,0,1,"tangibles, reliability, assurance"
balik lagi sadar diri lingkungan fasilitas mahasiswa terjaga sampai rasa junior depan,3,1,1,1,1,"tangibles, reliability, emphaty, assurance"
terimakasih,3,0,0,0,0,umum
fasilitas fasilkom ti memenuhi kegiatan ajar tatap muka ruang kelas adem nyaman staf akademik baik melayani mahasiswa sering menyampaikan informasi tentang berkas administrasi mahasiswa dosen pengertian mahasiswa tidak semua tau apa ajar membuat nyaman ajar paksa mahasiswa harus tau tentang fakultas tanggapan apa bakat minat mahasiswa bidang apa mahasiswa minat,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
lingkugan kelas kurang bersih,2,1,0,0,0,tangibles
mana kejadian kotoran kucing lorong sehinggan sebab lorong bau kotoran kucing sampah makanan plastik sterofoam terlalu mana tempat tampung terlalu kecil sampah berserakan tempat sampah,2,0,0,0,0,umum
pengajar dosen kurang materi jelas,2,1,1,1,1,"tangibles, reliability, emphaty, assurance"
fakultas banyak membantu kepentingan mahasiswa komunikasi jalan lancar cepat,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
terutama keperluan berkas kurang langsung baik benar,4,1,1,0,1,"tangibles, reliability, assurance"
fakultas dukung penuh bantu mahasiswa kurang mampu aktif kuliah,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
tetap kuliah mahasiswa,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
fakultas tidak membuat lebih rumit banyak suka pegawai fakultas,4,1,1,0,0,"tangibles, reliability"
terimakasih,4,0,0,0,0,umum
fasilitas sedia baik ruang kelas luas nyaman full ac toilet bersih hanya saja minim tempat ibadah,5,1,1,0,1,"tangibles, reliability, assurance"
dosen staff baik dosen proses belajar ajar baik,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
laku dosen pembimbing akademik mahasiswa kurang baik,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
pihak fakultas ayom mahasiswa mengalami masalah kuliah sikap tanggap kurang fakultas mahasiswa keringanan biaya,5,1,1,1,1,"tangibles, reliability, emphaty, assurance"
fasilitas kampus lab komputer ruang kelas prodi s-1 ilmu komputer kendala kursi ruang kelas pakai kursi kayu lama kursi tidak layak ganti kursi lebih baik,2,1,1,0,1,"tangibles, reliability, assurance"
pc lab pemrograman speknya tidak pada lama booting buka aplikasi lama pc aio monitor masalah,2,0,0,0,0,umum
lantai keramik lab banyak pecah pecah,2,1,0,0,0,tangibles
penjelasan materi erti tergantung dosen modul lab membantu mudah paham,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
in my opinion the explanation of the material provided is quite understandable depending on the lecturer the modules provided by the lab are very helpful and easy to understand,4,0,0,0,0,umum
thats for my opini sorry for my bad words,4,0,0,0,0,umum
hanya dapat oiya satu lagi fakultas mampu membantu mahasiswa kurang mampu,4,1,1,1,1,"tangibles, reliability, emphaty, assurance"
gedung fakultas kecil banding fakultas,2,1,1,0,0,"tangibles, reliability"
dosen jarang masuk pelajaran jadwal dia memasuki kelas ajar,2,1,1,1,1,"tangibles, reliability, emphaty, assurance"
kesenjangan jurus dalam ilmu komputer teknologi informasi,2,0,0,0,0,umum
kelas jurus teknologi informasi lebih mewah banding ilmu komputer,2,1,0,0,0,tangibles
