ulasan,rating,tangibles,reliability,emphaty,assurance,kategori,sentiment,polaritas
lampu toilet lama tidak hidup belum ganti,1,1,0,0,0,tangibles,-5,negative
wastafel tidak keluar air,1,0,0,0,0,umum,2,positive
lantai gelembung basah,1,0,0,0,0,umum,0,netral
bahaya orang jadi rentan terpeleset,1,0,0,0,0,umum,-10,negative
wifi lelet tidak jangkau wilayah fasilkom ti,1,1,0,0,1,"tangibles, assurance",0,netral
nilai fasilitas lingkungan fasilkom-ti bilang buruk terutama bagian toilet tidak milik lampu terang proyektor ruang kelas tidak pakai mahasiswa kesulitan melaksanakan ajar,2,1,1,1,1,"tangibles, reliability, emphaty, assurance",-4,negative
segi pelayanan para petugas staf kurang baik para staf tugas bilang tidak ramah para mahasiswa merasa kurang nyaman bertanya berkaitan para petugas,2,1,1,1,1,"tangibles, reliability, emphaty, assurance",-17,negative
layanan fakultas ilmu komputer teknologi informasi memuaskan,4,1,1,0,0,"tangibles, reliability",14,positive
ruang kelas ber ac kecepatan internet pada anda berada laboratorium,4,1,1,0,1,"tangibles, reliability, assurance",-11,negative
lingkungan fakultas ilmu komputer teknologi informasi junjung tinggi bersih lingkungan fakultas ilmu teknologi informasi bersih asri jarang sampah,4,1,1,0,0,"tangibles, reliability",19,positive
lingkungab fakultas ilmu teknologi informasi junjung nilai sopan,4,1,1,0,0,"tangibles, reliability",9,positive
aspek tangible ruang kampus fasilitas lengkap wifi sedia colok laptop papan tulis bertingkat mudah,5,1,1,0,1,"tangibles, reliability, assurance",3,positive
ruang laboratorium jg lengkap banyak colok laptop tersedia jg wifi lan,5,1,1,0,1,"tangibles, reliability, assurance",1,positive
aspek materi ajar kes terburu sedikit mahasiswa kurang mengerti penjelasan materi,5,1,1,1,1,"tangibles, reliability, emphaty, assurance",-12,negative
modul lengkap,5,0,0,0,0,umum,2,positive
andal dosen staf akademik memuaskan,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",10,positive
meskipun dosen datang tidak besar dosen datang,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",-12,negative
modul bagus,4,0,0,0,0,umum,2,positive
dosen mudah paham,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",4,positive
bidang laku mahasiswa baik,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",3,positive
mahasiswa perlu urus berkas tanggap cepat,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",8,positive
santun kurang staf akademik sedikit ketus menanggapi,4,0,1,1,0,"reliability, emphaty",-5,negative
fasilitas pihak kampus baik,5,1,1,0,1,"tangibles, reliability, assurance",2,positive
mukena sejadah musholla bermanfaat bagi mahasiswa perempuan,5,1,1,1,1,"tangibles, reliability, emphaty, assurance",10,positive
toilet bersih air tersedia banyak,5,1,0,0,0,tangibles,6,positive
dosen rajin hadir tidak hadir pun memberi kabar,5,1,1,1,1,"tangibles, reliability, emphaty, assurance",9,positive
memberi materi kuliah mudah paham mampu jelas baik,5,1,1,0,1,"tangibles, reliability, assurance",13,positive
laku dosen mahasiswa baik tdak membeda-bedakan mahasiswa mau masuk baik,5,1,1,1,1,"tangibles, reliability, emphaty, assurance",4,positive
fakultas baik mau keringanan bagi mahasiswabya,5,1,1,0,1,"tangibles, reliability, assurance",12,positive
biasa memaklumi mahasiswa lambat mau penambahan,5,1,1,1,1,"tangibles, reliability, emphaty, assurance",13,positive
fasilkom sngat bagusss bergunaa fasilitas lumayan baguss masii kekurangannn dannn para dosen serta sataf akademikanya baik sopann laku mahasiswa berguna bagus sekali,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",16,positive
juaga bagus respons baguss baik laaa fasilkom-ti the besf laaa  memuaskann pokoknyaaa ga nyesell mudah an nanti makin jaya kembang fakultas unggul baik harap lebih kembang dann jayaaaa tahun,3,1,1,0,1,"tangibles, reliability, assurance",29,positive
nilai fasilkom-ti,5,0,0,0,0,umum,5,positive
lingkungan fasilkom-ti baik dimulai segi ruang luas dingin bagus toilet bersih laboratorium bagus nyaman para mahasiswa,5,1,1,1,1,"tangibles, reliability, emphaty, assurance",10,positive
realibility para dosen ajar baik jelas materi para mahasiswa mudah erti,5,1,1,1,1,"tangibles, reliability, emphaty, assurance",15,positive
nilai para staf fakultas cepat urus berkas mahasiswa,5,1,1,1,1,"tangibles, reliability, emphaty, assurance",10,positive
para staf ramah sabar urus urus berkaitan berkas para mahasiswa,5,1,1,1,1,"tangibles, reliability, emphaty, assurance",17,positive
responsivennes nilai fakultas membantu kesulitan masalah akademik para mahasiswa,5,1,1,1,1,"tangibles, reliability, emphaty, assurance",3,positive
kampus peduli kepentingan para mahasiswa bantu para dosen pembimbing solusi masalah mahasiswa,5,1,1,1,1,"tangibles, reliability, emphaty, assurance",18,positive
kampus peduli minat bakat mahasiswa,5,1,1,1,1,"tangibles, reliability, emphaty, assurance",12,positive
fasilitas kampus kurang pada mulai jaringan bersih toilet bersih lingkungan kampus minim,1,1,1,0,1,"tangibles, reliability, assurance",6,positive
dosen kadang ajar hanya membaca tidak mek rinci apa ajar mahasiswa kesulitan menerima pelajaran,1,1,1,1,1,"tangibles, reliability, emphaty, assurance",4,positive
laku para dosen mahasiswa bilang terkadang pilih kasih komting kom terkadang lebih istimewa dosen,1,1,1,1,1,"tangibles, reliability, emphaty, assurance",9,positive
fakultas kadang membiarkan mahasiswa kurang aktif malas kampus,1,1,1,1,1,"tangibles, reliability, emphaty, assurance",-8,negative
dosen kadang sering telat,1,1,1,1,1,"tangibles, reliability, emphaty, assurance",1,positive
fakultas dukung mahasiswa kembang mulai membantu serta memfasilitasi mahasiswa ikut kejuaraaan,5,1,1,1,1,"tangibles, reliability, emphaty, assurance",13,positive
fakultas menyediakan sarana prasarana ajar baik mulai ruang kelas bersih proyektor serta jaringan internet bagus,5,1,1,0,1,"tangibles, reliability, assurance",8,positive
dosen fasilkom-ti ajar baik rinci mahasiswa memahami ajar baik,5,1,1,1,1,"tangibles, reliability, emphaty, assurance",11,positive
staf kepegawaiaanya ramah serta mau membantu mahasiswa milik masalah administrasi,5,1,1,1,1,"tangibles, reliability, emphaty, assurance",13,positive
segi pelayanan kampus kurang memuaskan ada ruang ibadah butuh jarang kuliah jeda ishoma cenderung singkat,4,1,1,0,1,"tangibles, reliability, assurance",-13,negative
mahasiswa ibadah makan siang sering kewalahan akses rumit mahasiswa harus keluar area kampus oleh,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",-6,negative
ada kelas belum merata kelas mempunyai akses proyektor baik sama sekali tidak fungsi,4,1,1,0,1,"tangibles, reliability, assurance",6,positive
mangkas kuliah besar jarang mahasiswa harus kutat proyektor ketimbang kuliah,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",0,netral
segi realibility hanya tenaga pengajar kurang memuaskan baik segi sampai materi tepat hadir,4,1,1,0,1,"tangibles, reliability, assurance",-6,negative
segi baik segi empathy,4,1,1,0,1,"tangibles, reliability, assurance",-5,negative
aspek berkuliah baik ruang kuliah pada proses belajar kurang hanya dingin ruang tidak terlalu pada panas kurang nyaman,3,1,1,0,1,"tangibles, reliability, assurance",-14,negative
laboratorium toilet belum baik bersih,3,1,1,0,1,"tangibles, reliability, assurance",-8,negative
terkait aspek bilang baik pemberian materi dosen paham pemberian materi serta praktik membuat lebih memahami terkait materi,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",1,positive
ada elearning laku akses modul mudah dosen tidak mengupload modul e-learning,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",10,positive
terkait layanan urus berkas sepertinya perlu tingkat lagi terkadang berkas urus lama tertunda,3,0,0,0,1,assurance,-8,negative
terima kasih apa pikir tentang kampus mari lihat kampus milik fasilitas bagus berarti bagi,5,1,1,0,1,"tangibles, reliability, assurance",18,positive
dosen cerdas mendidik para mahasiswa memang milik perilaku baik semua milik rasa respon baik semua fakultas peduli alas pmb mendorong anda batas anda membuat lebih banyak teman,5,1,1,1,1,"tangibles, reliability, emphaty, assurance",9,positive
jadi simpul fakultas salah satu fakultas besar universitas sumatera utara tidak heran akreditasi unggul,5,1,1,0,0,"tangibles, reliability",-1,negative
fasilitas baik lampu bagi toilet mati jadi moga depan toilet pakai agar tidak membuat kamar mandi lama serta kamar mandi terkdang bau jarang bersih serta tidak kantin membuat harus bersusah payah membli makanan fkg serta kurang tempat duduk hanya tersedia hexagon dkt kamar mandi rasa kurang menunggu kelas kebingungan mencari tempat menunggu kelas karna tidak tempat tersedia,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",7,positive
kendala dosen suka jarang masuk abar,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",0,netral
pandang awal fasilitas fisik kampus kurang menarik karna mungkin perbaikan bagunan lama,3,1,1,0,1,"tangibles, reliability, assurance",-4,negative
jadi semakain menghabiskan kampus terbiasa bagi melihat kampus lain merasa iri,3,0,1,0,0,reliability,-5,negative
lab masalah wifi mahasiswa harus hotspot sendiri memperlacar proses belajar kelas nyaman menggangu toilet penerangan kurang kadang tidak nyaman guna kalau reability andal dosen staff akademik dosen milik andal ajar matrri baik mahasiswa memahami dosen hanya membaca materi dar saja hadir kelas tugas besar kalau sebagai mahasiswa belum terbiasa saja,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",-4,negative
staff pengajar akademik tu baik butuh hala apa harus laku depan,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",-4,negative
assurace laku mahasiswa belum terbiasa kalau dosen memang sibuk awal masuk kaget iring jalan memahami mengganggu terkadang mahasiswa kelas atas senior membuat minder tidak berkenaan dihati,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",4,positive
sikap tanggap belum terlalu memahami mungkin kali belajar luring mungkin belum terbiasa belum kebutuhan berkaitan sikap tanggap baik berada kampus urus keperluan akadmik awal,3,1,1,0,1,"tangibles, reliability, assurance",27,positive
laku mahasiswa laku dosen staff akademik baik mungkin jadi belum rasa,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",5,positive
belum banyak interaksi,3,1,0,1,0,"tangibles, emphaty",0,netral
pengurus ramah membuat nyaman belajar bersedia membantu kebutuhan butuh mahasiswa banyak belum penuh menyadari ajar lama daring jadi memulainnya harus dimulai awal lagi,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",20,positive
mentor dosen pembimbing membantu,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",7,positive
layanan akademik fasilkom-ti usu baik dosen dosen ajar mahasiswa jelas papar materi sesuai,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",7,positive
fasilitas fisik kampus bagus kamar mandi kurang bersih andal dosen staf akademik dosen staf akademik jalan tugas baik dosen suka datang lambat,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",9,positive
laku mahasiswa adil baik sikap tanggap baik empathynya baik simpul layanan akademik fasilkom ti baik bbrp harus evaluasi harap fasilitas fisik,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",28,positive
aspek berkuliah baik ruang kuliah pada proses belajar,3,1,1,0,1,"tangibles, reliability, assurance",-9,negative
laboratorium baik dingin ruang ruang laboratorium tidak fungsi dgn baik ruang panas komputer laboratorium ruang banyak tida,3,1,1,0,1,"tangibles, reliability, assurance",-18,negative
toilet baik hanya saja lampu toilet lantai tidak menyala buang air kecil tidak penerangan toilet bersih toilet lantai biasa saja tidak terlalu bersih kalau sidah siang kalo lantai bersih nyaman,3,1,1,0,1,"tangibles, reliability, assurance",-7,negative
wifi lelet tidak jangkau wilayah fasilkom ti,3,1,0,0,1,"tangibles, assurance",0,netral
andal dosen staf akademik memuaskan,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",10,positive
meskipun dosen datang tidak besar dosen datang,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",-12,negative
modul bagus,3,0,0,0,0,umum,2,positive
dosen mudah,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",4,positive
bidang laku mahasiswa baik,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",3,positive
mahasiswa perlu urus berkas tanggap cepat,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",8,positive
santun kurang staf akademik sedikit ketus menanggapi,3,0,1,1,0,"reliability, emphaty",-5,negative
ruang kuliah fasilkom ti nyaman dingin hihi bersih jadi semangat belajar ruang solat bersih nyaman ruang laboratorium nyaman aslab enak kali ngajak seru sama adek-adek aslab terdebest la laboratorium layak jadi tempat belajar toilet bersi krna bersih pagi bersih wangi hihi dosen jelas materi asik tidak langsung meminta murid lebih banya belajar mandiri emang la perbedaan pelajar banding mahasiswa,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",32,positive
fasilitas kurang memuaskan dmn bersih kurang terjaga gedung kurang terawat barang terkadang tidak fungsi baik kumuh banyak barang semak bener bener tidak terawat toilet tidak lampu pun tidak dibenerin keramik pecah dsb,1,1,1,0,1,"tangibles, reliability, assurance",-20,negative
baik mungkin karna sibuk jd sedikit lama menunggu empathy kurang tidak kantin jd harus numpang fakultas sebelah perbaikan lebih lanjut ruang tempat gedung berbahaya,1,1,1,1,1,"tangibles, reliability, emphaty, assurance",-21,negative
ruang kuliah tidak cermin fakultas berkaitan it,1,1,1,0,1,"tangibles, reliability, assurance",-4,negative
kelas milik kendala proyektor mana proyektor tidak hidup harus mencari proyektor pengganti,1,1,0,1,0,"tangibles, emphaty",-9,negative
proyektor pengganti pun kadang masalah mengganggu proses belajar,1,0,0,0,0,umum,7,positive
labotarium milik perangkat sama mana perangkat tidak hidup mengalami rusa kegiatan praktikum,1,1,0,0,0,tangibles,8,positive
lalu tidak semua toilet milik sabun wastafel,1,1,0,0,0,tangibles,9,positive
toilet lantai toilet terkadang milik aroma tidak sedap,1,1,0,0,0,tangibles,-1,negative
dosen jarang masuk hanya tugas memberi penjelasan tentang materi,1,1,1,1,1,"tangibles, reliability, emphaty, assurance",-1,negative
membuat peran dosen sebagai beri pengetahuan tidak,1,1,1,1,1,"tangibles, reliability, emphaty, assurance",0,netral
dosen sering telat masuk kelas,1,1,1,1,1,"tangibles, reliability, emphaty, assurance",-9,negative
pertemuan dosen meminta undur 15 menit 30 menit,1,1,1,1,1,"tangibles, reliability, emphaty, assurance",4,positive
dosen meminta kelas ganti sepihak mengganggu jadwal,1,1,1,1,1,"tangibles, reliability, emphaty, assurance",1,positive
dosen milik wawas pengetahuan luas berkualitas kurang sampai materi mahasiswa mahasiswa mengalami kesulitan mengikuti ajar,1,1,1,1,1,"tangibles, reliability, emphaty, assurance",10,positive
fasilitas lumayan memuaskan kursi baik ac proyektor baik baik materi baik membantu memahami belum erti staf sabar parkir luas hanya kurang kantin tempat lebih terjaga bersih kilas cantik dalam dukung sulit jaringan lab tersedia susun rapi cuman perlu perbaikan lebih lanjut,4,1,1,0,1,"tangibles, reliability, assurance",58,positive
toilet bersih harum lab bagus keren unik parkir luas aman ruang ibdah bagus bersih,5,1,1,0,1,"tangibles, reliability, assurance",8,positive
dosen baik disiplin tidak telat tpi telat dosen aja,5,1,1,1,1,"tangibles, reliability, emphaty, assurance",17,positive
ramah frendly tidak individualisme egois memahami membantu sama lain milik solidaritas tinggi tidak membenci satu sama lain bersatu,5,1,0,0,0,tangibles,16,positive
membantu mahasiswa apa lagi masalah bidang akademik,5,1,1,1,1,"tangibles, reliability, emphaty, assurance",-7,negative
sadar memahami satu sama lain,5,1,0,0,0,tangibles,7,positive
pelayanan fasilkom-ti baik mana tempuh didik fasilitas ruang kelas rapi bersih,4,1,1,0,1,"tangibles, reliability, assurance",5,positive
sering melihat ruang rutin bersih,4,1,1,0,1,"tangibles, reliability, assurance",1,positive
belajar maksimal,4,0,0,0,0,umum,6,positive
fasilitas ac proyektor fungsi baik,4,1,1,0,1,"tangibles, reliability, assurance",5,positive
toilet sering bersih tidak timbul bau menyengat hendak buang air kecil buang air besar atapun dar cuci muka tetap nyaman,4,1,0,0,0,tangibles,1,positive
ruang kuliah fasilkom-ti nyaman menunjang ajar,5,1,1,0,1,"tangibles, reliability, assurance",-2,negative
mana ruang kelas milik ac baik tidak ac rusak ruang nyaman ajar,5,1,1,0,1,"tangibles, reliability, assurance",-2,negative
laboratorium milik komputer spesifikasi bagus praktikum laboratorium menyediakan internet cepat praktikum penggunaan internet tidak terjadi kendala,5,0,0,0,0,umum,-1,negative
lantai fasilkom-ti milik toilet bersih mana bersih rutin menjaga bersih toilet agar mahasiswa toilet nyaman,5,1,1,1,1,"tangibles, reliability, emphaty, assurance",-3,negative
kualitas ajar baik mana dosen milik pengetahuan tinggi materi,5,1,1,1,1,"tangibles, reliability, emphaty, assurance",16,positive
dosen milik sendiri ajar ajar tidak hanya satu arah mahasiswa turut ambil bagian membuat pembejalaran tidak membosankan,5,1,1,1,1,"tangibles, reliability, emphaty, assurance",2,positive
modul lengkap mudah paham,5,0,0,0,0,umum,6,positive
mahasiswa mengerti materi baik,5,1,1,1,1,"tangibles, reliability, emphaty, assurance",5,positive
kualitas layanan staf akademik memuaskan mana staf akademik kebutuhan menunjang maju mahasiswa bidang akademik non akademik tambah civitas akademik ramah pandang latar,5,1,1,1,1,"tangibles, reliability, emphaty, assurance",22,positive
ruang kuliah lab toilet ruang ibadah kurang memuaskan,1,1,1,0,1,"tangibles, reliability, assurance",-13,negative
dosen banyak tidak hadir harus batal kuliah memindahkan jadwal lain materi oke kurang jelas,1,1,1,1,1,"tangibles, reliability, emphaty, assurance",-11,negative
mahasiswa baik baik berbicara komunikasi inisiatif mahasiswa respons kurang satu sama lain mahasiswa milik sikap menang sendiri membuat mahasiswa sulit kembang tertinggal,1,1,1,1,1,"tangibles, reliability, emphaty, assurance",3,positive
kesimpulaya fakultas butuh perbaikan,1,1,1,0,0,"tangibles, reliability",0,netral
menerima pelayanan akademik berkuliah fasilkom-ti merasa kurang puas layanan akademik terkadang tidak memuaskan kerja,1,0,1,1,0,"reliability, emphaty",-2,negative
tidak baik segi sikap keluh minta mahasiswa terkadang sampai marah marah mahasiswa mahasiswa sendiri tidak milik kesalahana lalai tugas rugi bagi mahasiswa terkadang menghambat aktivitas mahasiswa,1,1,1,1,1,"tangibles, reliability, emphaty, assurance",-16,negative
nilai layanan akademik fasilkom-ti usu -fasilitas kampus dapatkan baik kelas nyaman kamar mandi bersih tempat ibadah minim,1,1,1,1,1,"tangibles, reliability, emphaty, assurance",9,positive
-keandalan dosen staf baik dosen proses belajar ajar baik,1,1,1,1,1,"tangibles, reliability, emphaty, assurance",11,positive
-perlakuan mahasiswa kurang baik dosen pembimbing tidak laksana -sikap tanggap kurang baik fakultas mahasiswa keringanan biaya -pemaham kepentingan mahasiswa baik,1,1,1,1,1,"tangibles, reliability, emphaty, assurance",-2,negative
fasilitas fisik kampus utk ruang kuliah bagus nyaman,3,1,1,0,1,"tangibles, reliability, assurance",4,positive
milik ac tidak panas fokus belajar pintu ruang buka keluar suara tidak enak dengar lumayan sulit buka,3,1,1,0,1,"tangibles, reliability, assurance",1,positive
utk toilet toilet punya salur air bagus lampu otomatis memudahkan mahasiswa wastafel sumbat kotor cermin toilet kotor serta lampu toilet meskipun otomatis hanya satu lampu fungsi,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",13,positive
tidak fungsi kata lain lampu padam mati,3,0,0,0,0,umum,3,positive
menjalani kuliah fasilkom-ti usu puas kagum fakultas berusaha memahami minat bakat mahasiswa berusaha kembang,5,1,1,1,1,"tangibles, reliability, emphaty, assurance",30,positive
fakultas peduli minat bakat mahasiswa,5,1,1,1,1,"tangibles, reliability, emphaty, assurance",12,positive
grup wa stambuk pihak fakultas update tentang lomba mensharing grub wa,5,1,1,0,0,"tangibles, reliability",-7,negative
tidak peduli lomba apa baik akademik non akademik,5,1,1,1,1,"tangibles, reliability, emphaty, assurance",-4,negative
fakultas dukung makasiswa persiapan lomba baik,5,1,1,0,1,"tangibles, reliability, assurance",9,positive
materi dosen bagus mudah dipahamin mahasiswa dosen teliti bertanya mahasiswa satu sub bab mahasiswa paham materi tidak tidak dosen jela ulang,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",8,positive
dosen pandai membuat mahasiswa berani memberi jawaban,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",10,positive
dosen ramah memberi aura positif mengatakan jangan takut memberi jawaban salah benar salah nilai tambahan membuat mahasiswa semakin memberi jawaban aktif kelas,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",27,positive
fasilitas dapat fasilkom-ti tidak memuaskan,1,1,1,0,1,"tangibles, reliability, assurance",-1,negative
dimulai ac kelas terkadang kurang dingin kursi pakai tidak nyaman lalu komputer lab banyak rusak banyak lantai retak banyak atap bocor lantai sering basah membuat kotor bahaya orang terpleset,1,1,0,0,0,tangibles,-9,negative
lampu toilet banyak mati toilet gelap wastafel toilet rusak tidak menyediakan sabun cuci tangan,1,1,0,0,0,tangibles,9,positive
fasilitas bagus lengkap bagi tahu,3,1,1,0,1,"tangibles, reliability, assurance",12,positive
andal belum mempunyai andal siapa andal orang sendiri diam,3,0,0,0,0,umum,10,positive
laku mahasiswa baik baik mahasiswa mahasiswa dosen mahasiswa membuat senang laku,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",12,positive
sikap meresponnya bagus baik,3,1,1,0,1,"tangibles, reliability, assurance",7,positive
mudah an sampai tamat amin,3,0,0,0,0,umum,12,positive
paham kurang ngerti gimna ni,3,0,0,0,0,umum,-4,negative
kalo matkul,3,0,0,0,0,umum,0,netral
belum paham kali tidak bilang gagal,3,0,0,0,0,umum,-4,negative
fasilkom ti gedung baik ruang kuliah nyaman ruang kdng panas ac tidak sama sekali toilet lumayan la bersih laboraorium mungkin sedikit kurang banyak komputer tidak nyala,3,1,1,0,1,"tangibles, reliability, assurance",-15,negative
terkait aspek pemgajaran dosen lumayan dosen jarang masuk sebab materi tidak dpt diterima baik layanan urus berkas baik tidak masalah apa,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",4,positive
menerima pelayanan fakultas merasa belum puas mana laku petugas pelayanan staf akademik mahasiswa tidak ramah membuat mahasiswa takut urus hanya dar bertanya,2,1,1,1,1,"tangibles, reliability, emphaty, assurance",-4,negative
lama urus hitung lama,2,0,0,0,1,assurance,-7,negative
fasilitas diberika pihak fasilitas pada,2,1,1,0,1,"tangibles, reliability, assurance",-3,negative
sikap tanggap staf akademik urus mahasiswa kurang kepentingan mahasiswa,2,1,1,1,1,"tangibles, reliability, emphaty, assurance",-3,negative
fasilkom ti gedung kurang baik ruang kuliah nyaman ruang kdng panas ac tidak sama sekali toilet lumayan bersih laboratorium mungkin sedikit kurang banyak komputer tidak nyala,4,1,1,0,1,"tangibles, reliability, assurance",-29,negative
terkait aspek pemgajaran dosen lumayan dosen jarang masuk sebab materi tidak dpt diterima baik bukan hanya dosen saja sbnrnya merungikan sekali tidak mendapat materi seharusnyaa layanan urus berkas mungkin sedikit belum memuaskan pelayanan sedkit lama,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",-17,negative
contoh krs siswa dielerning sks krs lama ubah print buat dikasih dosen pembimbing,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",5,positive
fasilkom ti usu merasa senang pelayanan fisik pada lengkap sebentar lagi tempat ibadah bagi muslim selesai diri,5,1,0,0,1,"tangibles, assurance",4,positive
dosen ajar menyenangkan menarik serta mudah paham materi,5,1,1,1,1,"tangibles, reliability, emphaty, assurance",15,positive
mahasiswa baik serta sikap tanggap cepat,5,1,1,1,1,"tangibles, reliability, emphaty, assurance",13,positive
siswa kendala respon serta empati sigap,5,0,0,0,0,umum,11,positive
merasa senang berkuliah fasilkom ti usu rasa fasilkom ti usu membantu dunia kuliah,5,1,0,0,1,"tangibles, assurance",4,positive
dosen fasilkom-ti baik ajar laku dosen baik staf fasilkom-ti cepat datang butuh ramah modul bagus mudah paham,5,1,1,1,1,"tangibles, reliability, emphaty, assurance",15,positive
kalau mahasiswa urus berkas tanggap cepat,5,1,1,1,1,"tangibles, reliability, emphaty, assurance",5,positive
mungkin saja terima kasih,5,0,0,0,0,umum,-1,negative
nilai pelayanan akademik fasilkom-ti jauh kata memuaskan aspek rasa butuh aktifitas layanan akademik fasilkom-ti,4,0,1,1,0,"reliability, emphaty",1,positive
segi fasilitas baik kelola kurang tambah lagi tidak tempat ibadah fasilkom-ti,4,1,1,0,1,"tangibles, reliability, assurance",-1,negative
segi rehability overall baik memuaskan segi modul materi segi kebutuhan akademik mahasiswa hanya saja sedikit kurang tetap dosen masuk,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",-21,negative
akademik fasilkom-ti bilang kurang banyak dosen menginginkan mahasiswa belajar daring pihak prodi izin melaksanakan kegiatan offline,1,1,1,1,1,"tangibles, reliability, emphaty, assurance",-5,negative
bobot materi kurang tidak sesuai tugas,1,0,0,0,1,assurance,-5,negative
dosen tugas tidak sesuai sop deadline tidak sesuai pengumpulan lebih cepat deadline,1,1,1,1,1,"tangibles, reliability, emphaty, assurance",0,netral
tugas tergolong banyak,1,1,0,0,0,tangibles,-2,negative
nilai aspek memuaskan,1,0,0,0,0,umum,5,positive
segi kejelasan materi dosen memuaskan,1,1,1,1,1,"tangibles, reliability, emphaty, assurance",2,positive
materi sulit paham mahasiswa penyampain materi kurang menarik efisien,1,1,1,1,1,"tangibles, reliability, emphaty, assurance",-3,negative
terkadang tugas sulit mahasiswa kurang mengerti tentang penjelasan materi,1,1,1,1,1,"tangibles, reliability, emphaty, assurance",1,positive
sebab mahasiswa kesulitan mengerjakan tugas kurun,1,1,1,1,1,"tangibles, reliability, emphaty, assurance",-7,negative
fasilkom-ti sesuai akreditasi,5,0,0,0,0,umum,-1,negative
akreditasi unggul pelayanan didik baik materi dosen jelas tugas sesuai materi deadline masuk akal tugas bobot sesuai,5,1,1,1,1,"tangibles, reliability, emphaty, assurance",9,positive
sikap tanggap dosen baik mampu membantu mahasiswa belum mengerti memahami materi bawa dosen,5,1,1,1,1,"tangibles, reliability, emphaty, assurance",16,positive
dosen pembimbing akademik mampu memahami para mahasiswa,5,1,1,1,1,"tangibles, reliability, emphaty, assurance",10,positive
nilai segi aspek fasilitas kampus memuaskan,5,1,1,0,1,"tangibles, reliability, assurance",3,positive
lingkungan kampus kelas lain bersih nyaman,5,1,1,0,0,"tangibles, reliability",-1,negative
ruang kelas besar bersih rapi membuat kegiatan ajar lebih nyaman lancar,5,1,1,0,1,"tangibles, reliability, assurance",12,positive
laboratorium pada menfasilitasi kegiatan praktikum lab mahasiswa,5,1,1,1,1,"tangibles, reliability, emphaty, assurance",-6,negative
moga fasilitas kampus fasilkom-ti lebih baik lagi depan agar masyarakat fasilkom-ti manfaat kebutuhan,5,1,1,0,1,"tangibles, reliability, assurance",8,positive
fasilitas fakultas ilmu komputer teknologi informasi fasilkom-ti berada area abu-abu baik kurang baik,3,1,1,0,1,"tangibles, reliability, assurance",13,positive
suasana kelas termasuk nyaman mungkin mengganggu,3,1,0,0,0,tangibles,3,positive
ruang kelas sendiri tergolong luas dingin ruang kelas sedikit kurang merata,3,1,1,0,1,"tangibles, reliability, assurance",-27,negative
toilet tersedia terkadang kurang bersih,3,1,0,0,0,tangibles,4,positive
dosen staf baik,3,1,1,1,1,"tangibles, reliability, emphaty, assurance",3,positive
fasilitas tawar mencukupi,3,1,1,0,1,"tangibles, reliability, assurance",-6,negative
fasilitas fakultas ilmu komputer teknologi informasi fasilkom-ti termasuk memuaskan berbagai fasilitas tawar,4,1,1,0,1,"tangibles, reliability, assurance",9,positive
suasana kelas termasuk nyaman fasilitas baik proyektor ruang kelas sendiri tergolong luas dingin ruang kelas sejuk,4,1,1,0,1,"tangibles, reliability, assurance",-13,negative
toilet tersedia tergolong bersih,4,1,0,0,0,tangibles,0,netral
dosen staf baik,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",3,positive
fasilitas tawar membantu mahasiswa depan,4,1,1,1,1,"tangibles, reliability, emphaty, assurance",1,positive
