Timestamp,Berikan Penilaian/Feedback Anda Sesuai Petunjuk Yang Ada,Seberapa memuaskan layanan akademik Fasilkom-TI USU yang kamu terima (secara keseluruhan) ?
03/12/2022 13:47:17,"Menurut saya, aspek tangibles atau fasilitas fisik kampus yang saya dapatkan di Fasilkom TI USU masih sangat tidak memuaskan. Dari ruang kuliahnya terkadang tidak dingin, meja dan kursi yang kurang layak dipakai, papan tulis yang sudah menghitam. Komputer pada laboratorium banyak yang tidak dapat digunakan, ruangan laboratorium juga panas. Lampu toilet yang sudah lama tidak dapat hidup tapi belum diganti. Wastafel juga tidak mengeluarkan air. Lantai yang menggelembung dan basah setiap saat. Menurut saya itu sangat bahaya, karena orang jadi sangat rentan terpeleset. Dan wifi yang lelet dan tidak dapat dijangkau di seluruh wilayah Fasilkom TI.",1
03/12/2022 13:48:57,"Menurut penilaian saya fasilitas yang ada di lingkungan fasilkom-TI masih terbilang buruk, terutama pada bagian toilet yang tidak memiliki lampu yang terang dan ada beberapa proyektor pada ruang kelas yang tidak bisa dipakai sehingga mahasiswa kesulitan untuk melaksanakan pembelajaran. Dari segi pelayanan oleh para petugas atau staf masih kurang baik, para staf yang bertugas masih terbilang tidak ramah sehingga para mahasiswa merasa kurang nyaman untuk bertanya atau melakukan sesuatu yang berkaitan dengan para petugas yang ada. ",2
03/12/2022 13:49:33,"menurut saya layanan yang diberikan fakultas ilmu komputer dan teknologi informasi sangat memuaskan. karena adanya ruangan kelas yang ber ac dan kecepatan internet yang sangat memadai ketika anda berada di laboratoriumnya. di lingkungan fakultas ilmu komputer dan teknologi informasi juga menjunjung tinggi sebuah kebersihan, terlihat dari lingkungan yang ada di fakultas ilmu teknologi dan informasi bersih dan asri dan jarang ada sampah. di dalam lingkungab fakultas ilmu teknologi dan informasi ini juga sangat menjunjung nilai kesopanan",4
03/12/2022 13:49:52,"menurut saya layanan yang diberikan fakultas ilmu komputer dan teknologi informasi sangat memuaskan. karena adanya ruangan kelas yang ber ac dan kecepatan internet yang sangat memadai ketika anda berada di laboratoriumnya. di lingkungan fakultas ilmu komputer dan teknologi informasi juga menjunjung tinggi sebuah kebersihan, terlihat dari lingkungan yang ada di fakultas ilmu teknologi dan informasi bersih dan asri dan jarang ada sampah. di dalam lingkungab fakultas ilmu teknologi dan informasi ini juga sangat menjunjung nilai kesopanan",4
03/12/2022 13:53:03,"Menurut saya dari aspek tangible untuk ruang kampus fasilitas yang diberikan sudah lengkap, seperti wifi, tersedianya colokan untuk laptop, papan tulis bertingkat sehingga mudah dilihat. Untuk ruang laboratorium jg sudah dilengkapi banyak colokan untuk laptop, tersedia jg wifi dan lan. Dari aspek reliability, menurut saya, materi yang diajarkan terkesan terburu"" sehingga tak sedikit mahasiswa yang kurang mengerti penjelasan dari materi tersebut. Untuk modul yang didapat menurut saya sudah lengkap.",5
03/12/2022 13:54:37,"Menurut saya, reliability atau keandalan dosen dan staf akademik sudah cukup memuaskan. Meskipun ada beberapa dosen yang datang tidak tepat waktu, sebagian besar dosen datang tepat waktu. Modul yang diberikan juga bagus. Cara menjelaskan beberapa dosen mudah dipahami. Dalam bidang assurance atau perlakuan terhadap mahasiswa juga sudah cukup baik. Jika mahasiswa perlu mengurus berkas-berkas biasanya ditanggapi dan dikerjakan dengan cepat. Walaupun dalam kesantunan masih kurang karena ada staf akademik yang sedikit ketus dalam menanggapi.",4
03/12/2022 13:54:59,"Menurut saya, fasilitas yang diberikan pihak kampus sudah cukup baik. Terdapat mukena dan sejadah di musholla yang sangat bermanfaat bagi mahasiswa perempuan. Toilet juga selalu dibersihkan dan air yang tersedia sangat banyak. Dosen juga rajin hadir dan bila tidak hadir pun selalu memberi kabar. Selalu memberi materi kuliah yang mudah dipahami dan mampu menjelaskannya dengan baik. Perlakuan dosen pada mahasiswa sangat baik, tdak membeda-bedakan mahasiswanya dan mau memberikan masukan yang baik. Fakultas juga sangat baik, mau memberikan keringanan bagi mahasiswabya. Emphaty mereka luar biasa, memaklumi jika ada mahasiswa yang terlambat dan mau memberikan penambahan waktu.",5
03/12/2022 13:59:35,"menurut saya fasilkom sudah sngat bagusss dan bergunaa, fasilitasnya juga lumayan baguss tetapi masii ada kekurangannn dannn para dosen serta sataf akademikanya juga baik"" dan sopann perlakuan terhadap mahasiswa juga sangat berguna dan bagus sekali. dan juaga bagus respons yang baguss dan baik laaa fasilkom-ti the besf laaa 😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍 sangat memuaskann pokoknyaaa ga nyesell dan mudah""an nanti makin jaya dan berkembang menjadi fakultas unggul dan sangat baik, dan yg saya harapkan lebih berkembang dann jayaaaa setiap tahunnya",3
03/12/2022 14:05:13,"Penilaian saya terhadap fasilkom-TI a). Tangibles: menurut saya keadaan lingkungan fasilkom-TI sudah sangat baik dimulai dari segi ruangan yang luas dan pendingin yang bagus, toilet yang bersih, laboratorium yang bagus sangat nyaman digunakan oleh para mahasiswa. b). Realibility: menurut saya para dosen yang mengajar sangat baik dan sangat jelas ketika memberikan materi kepada para mahasiswa sehingga mudah dimengerti. c). Assurance: menurut penilaian saya para staf fakultas sangat cepat dan tepat dalam hal pengurusan berkas yang diperlukan oleh mahasiswa. Para staf juga sangat ramah dan sabar dalam mengurus urusan yang berkaitan dengan berkas para mahasiswa. d). Responsivennes: penilaian saya fakultas sangat membantu jika ada kesulitan atau masalah akademik para mahasiswa. e).  Emphaty: Kampus sangat peduli dengan kepentingan para mahasiswa dengan bantuan dari para dosen pembimbing yang memberikan solusi dari permasalahan mahasiswa. Kampus juga sangat peduli dengan minat dan bakat yang ada pada mahasiswa. ",5
03/12/2022 14:06:14,"Fasilitas kampus kurang memadai mulai dari jaringan, kebersihan toilet, kebersihan lingkungan kampus yang masih minim. Dosennya juga kadang mengajar hanya membaca tidak mek jelaskan secara rinci apa yang dipelajari sehingga mahasiswa kesulitan menerima pelajaran. Perlakuan para dosen kepada mahasiswa bisa dibilang terkadang pilih kasih, komting kom terkadang lebih diistimewakan oleh dosen. Fakultas juga kadang membiarkan mahasiswanya yang kurang aktif atau malas ke kampus. Dosen juga kadang sering telat.",1
03/12/2022 14:10:17,"Fakultas sangat mendukung setiap mahasiswanya yang ingin berkembang mulai dari membantu serta memfasilitasi mahasiswanya yang ikut kejuaraaan. Fakultas juga menyediakan sarana dan prasarana pembelajaran dengan baik mulai dari ruang kelas yang bersih, proyektor serta jaringan internet yang bagus. Dosen di Fasilkom-TI juga mengajar dengan baik secara rinci sehingga mahasiswa dapat memahami pembelajaran dengan baik. Staf kepegawaiaanya juga ramah serta mau membantu mahasiswa yang memiliki masalah administrasi.",5
03/12/2022 14:17:40,"Dari segi tangibles pelayanan yang diberi kampus kurang memuaskan, pengadaan ruang ibadah sangat dibutuhkan karena tak jarang perkuliahan di jeda dengan waktu ishoma yang mana waktu tersebut cenderung singkat. karena mahasiswa yang ingin beribadah dan makan siang pada waktu tersebut sering kewalahan karena akses kedua hal tersebut cukup rumit, mahasiswa harus keluar dari area kampus untuk memperoleh 2 hal tersebut. untuk pengadaan kelas belum merata, ada sebagian kelas yang mempunyai akses proyektor yang baik dan ada yang sama sekali tidak berfungsi. Hal ini memangkas waktu perkuliahan yang cukup besar karena tak jarang mahasiswa harus berkutat dengan proyektor ketimbang perkuliahan. Dari segi Realibility cukup, hanya ada beberapa tenaga pengajar yang kurang memuaskan baik dari segi penyampaian materi maupun ketepatan waktu hadir. Dari segi Assurance sejauh ini cukup baik begitu juga segi Responsiveness dan Empathy.",4
03/12/2022 14:21:53,"Untuk aspek tangibles selama saya berkuliah sudah cukup baik, ruang kuliah yang memadai untuk proses belajar namun yang kurang hanya pada pendinginan beberapa ruang yang tidak terlalu memadai sehingga terasa panas dan kurang nyaman. Untuk laboratorium dan toilet belum cukup baik kebersihannya. Terkait aspek reliability juga menurut saya sudah bisa dibilang baik dari pemberian materi dari dosen yang cukup dapat dipahami dan pemberian materi disertai praktik sehingga membuat saya dapat lebih memahami terkait materi tersebut. Ketika pengadaan elearning diberlakukan akses modul juga cukup mudah, tetapi ada beberapa dosen yang tidak mengupload modul ke e-learning. Sedangkan terkait layanan pengurusan berkas sepertinya masih perlu ditingkatkan lagi karena terkadang ada beberapa berkas yang pengurusannya cukup lama dan tertunda.",3
03/12/2022 14:24:02,"Terima kasih, saya akan menjawab apa yang saya pikirkan tentang kampus ini, mari kita lihat kampus memiliki fasilitas yang sangat bagus, Itu sangat berarti bagi saya. Dosennya sangat cerdas dalam mendidik kami, para mahasiswa memang memiliki perilaku yang baik, mereka semua memiliki rasa respon yang baik, dan kami semua di Fakultas ini saling peduli, inilah alasan mengapa PMB ada, sangat mendorong Anda untuk batas Anda, dan membuat lebih banyak teman. Jadi kesimpulannya, fakultas ini adalah salah satu fakultas terbesar di Universitas Sumatera Utara, tidak heran mengapa kami mendapatkan akreditasi yang unggul.",5
03/12/2022 14:26:50,"Fasilitas yang diberikan sudah baik, tapi lampu dibagian toilet masih ada beberapa yang mati jadi semoga kedepannya toilet sudah bisa dipakai agar tidak membuat yang kekamar mandi lama serta kamar mandi yang terkdang bau dan jarang dibersihkan , serta tidak ada kantin membuat kami harus bersusah payah untuk membli makanan ke fkg ,serta kurang tempat untuk duduk hanya tersedia di hexagon dan dkt kamar mandi itu saya rasa masih kurang apalagi jika ingin menunggu waktu kelas kami kebingungan untuk mencari tempat untuk menunggu waktu kelas selanjutnya karna tidak ada tempat tersedia  .untuk kendala dosen ada beberapa yang suka jarang masuk dengan tanpa mengabari sebelum hari h nya.",3
03/12/2022 14:33:19,"Menurut saya dan menurut pandangan awal saya mengenai tangibles atau fasilitas fisik kampus, kurang menarik karna mungkin sebagian masih dalam masa perbaikan dan bagunan juga sudah agak lama. Jadi semakain saya menghabiskan waktu dikampus hal tersebut sudah terbiasa bagi saya namun, ketika melihat kampus lain saya juga merasa iri. Untuk lab menurut saya masalah wifi nya karena mahasiswa masih harus menggunakan hotspot sendiri untuk memperlacar proses belajar, untuk Kelas sudah nyaman,  namun yang menggangu itu toiletnya penerangan juga kurang dan kadang tidak nyaman untuk menggunakannya
Kalau mengenai reability atau keandalan dosen dan staff akademik,sebagian dosen memiliki keandalan dalam mengajar atau dapat menjelaskan matrri dengan baik sehingga mahasiswa dapat memahami, namun ada juga dosen yang hanya membaca materi dan sekedar saja untuk hadir dikelas dan bahkan memberikan tugas yang besar menurut saya tapi sudah seharusnya kalau sebagai mahasiswa namun karena masih baru hal itu belum terbiasa saja.  Untuk staff pengajar atau akademik ketika saya ke tu mereka menjelaskan dengan baik hal yang saya butuhkan dan hala apa yang harus saya lakukan kedepannya. 
Assurace, perlakuan terhadap mahasiswa nah ini juga belum terbiasa kalau dosen ya memang sibuk pada awal masuk masih kaget dan seiring berjalannya waktu saya bisa memahami hal tersebut,  namun yang mengganggu terkadang itu dari mahasiswa kelas atas atau dari seniornya yang membuat minder atau hal yang tidak berkenaan dihati, begitulah.. 
Sikap tanggap saya belum terlalu memahami hal tersebut dan mungkin baru pertama kali belajar secara luring mungkin itu belum terbiasa dan belum ada kebutuhan yang berkaitan dengan hal tersebut namun ada juga sikap tanggap yang baik ketika berada dikampus dan mengurus keperluan akadmik awal. 
Perlakuan terhadap mahasiswa, menurut saya perlakuan dosen atau staff akademik lainnya sudah baik dan mungkin karena masih baru jadi saya belum masih merasakannya. Dan masih belum banyak interaksi juga.  Dan untuk pengurus lainnya juga ramah-ramah, membuat nyaman belajar dan juga bersedia membantu,  namun kebutuhan yang dibutuhkan mahasiswa masih banyak yang belum terpenuhi namun saya menyadari pembelajaran sudah lama dilakukan secara daring jadi untuk memulainnya harus dimulai dari awal lagi. Namun dengan memberikan mentor atau dosen pembimbing itu sangat membantu menurut saya.",3
03/12/2022 14:33:58,"Layanan Akademik Fasilkom-TI USU menurut saya sangat baik , dosen dosennya mengajarkan mahasiswa nya dengan jelas dan memberikan pemaparan materi yang sesuai. 
Fasilitas Fisik kampus menurut saya sudah bagus , namun untuk kamar mandi nya kurang bersih 
Untuk keandalan dosen dan staf akademik , menurut saya dosen dan staf akademiknya menjalankan tugasnya dengan baik , namun ada beberapa dosen yang suka datang terlambat.
Perlakuan terhadap mahasiswa juga adil dan baik
sikap tanggap juga baik
dan empathynya baik

kesimpulannya , layanan akademik fasilkom ti sudah baik namun ada bbrp hal yang harus di evaluasi terharap fasilitas fisiknya",3
03/12/2022 14:34:12," Untuk aspek tangibles selama saya berkuliah sudah cukup baik, ruang kuliah yang memadai untuk proses belajar. Untuk laboratorium sudah cukup baik,namun ada beberapa pendingin ruangan d di beberapa ruang laboratorium yang tidak berfungsi dgn baik sehingga ruangan terasa panas, untuk komputer laboratorium di beberapa ruangan banyak yang tida bisa di gunakan. Untuk toilet sudah cukup baik hanya saja lampu di toilet lantai 1 tidak menyala  sehingga ketika ingin buang air kecil tidak ada penerangan di dalam toilet tersebut,dan untuk kebersihan nya juga untuk di toilet lantai 1 biasa saja tidak terlalu bersih kalau sidah di siang hari tetapi kalo di lantai 2 bersih dan nyaman. Dan wifi yang lelet dan tidak dapat dijangkau di seluruh wilayah Fasilkom TI.",3
03/12/2022 14:36:50,"Menurut saya, reliability atau keandalan dosen dan staf akademik sudah cukup memuaskan. Meskipun ada beberapa dosen yang datang tidak tepat waktu, sebagian besar dosen datang tepat waktu. Modul yang diberikan juga bagus. Cara menjelaskan beberapa dosen mudah. dipahami. Dalam bidang assurance atau perlakuan terhadap mahasiswa juga sudah cukup baik. Jika mahasiswa perlu mengurus berkas-berkas biasanya ditanggapi dan dikerjakan dengan cepat. Walaupun dalam kesantunan masih kurang karena ada staf akademik yang sedikit ketus dalam menanggapi.",3
03/12/2022 14:50:09,"Menurut saya,ruang kuliah di fasilkom TI nyaman,dingin hihi,bersih  jadi semangat untuk belajar
ruangan untuk solat yang bersih dan nyaman juga ruangannya ,laboratorium nya juga nyaman,aslab nya juga enak kali ngajak seru juga sama adek-adek,aslab terdebest la nya dan laboratorium juga layak untuk jadi tempat belajar 
untuk toilet juga bersi krna setiap hari juga dibersihkan,kok pagi” setelah dibersihkan wangi hihi
untuk dosen juga cukup jelas memberikan materi dan ada beberapa yang asik juga
walaupun ada beberapa yang secara tidak langsung meminta muridnya lebih banya untuk belajar mandiri
tapi emang itu la perbedaan dari menjadi pelajar dibandingkan dengan mahasiswa",4
03/12/2022 14:56:30,"Untuk tangibles saya mendapatkan fasilitas yg kurang memuaskan, dmn kebersihan masih kurang terjaga, gedung yang kurang terawat, barang-barang yang terkadang tidak berfungsi dengan baik, terlihat kumuh dan banyak barang-barang yang terlihat semak seperti bener bener tidak terawat, toilet yg tidak ada lampu pun tidak pernah dibenerin, keramik yg pecah, dsb. Untuk reliability sudah cukup baik, assurance mungkin karna sibuk jd sedikit lama untuk menunggu, responsiveness n empathy kurang, tidak adanya kantin jd harus numpang ke fakultas sebelah, sangat memerlukan perbaikan lebih lanjut untuk ruangan dan beberapa tempat di dalam gedung karena berbahaya ",1
03/12/2022 15:00:07,"Menurut saya, ruangan kuliah tidak mencerminkan fakultas yang berkaitan dengan IT. Beberapa kelas memiliki kendala pada proyektor, dimana proyektor tidak dapat hidup sehingga harus mencari proyektor pengganti. Proyektor pengganti pun kadang bermasalah sehingga mengganggu proses belajar. Labotarium juga memiliki beberapa perangkat yang bersamalah dimana perangkat tidak dapat hidup atau mengalami kerusakan sehingga kegiatan praktikum. Lalu, tidak semua toilet memiliki sabun di wastafel. Untuk toilet lantai 1, toilet terkadang memiliki aroma yang tidak sedap. Reliability, beberapa dosen jarang masuk dan juga hanya memberikan tugas tanpa memberi penjelasan tentang materi. Hal ini membuat peran dosen sebagai pemberi pengetahuan tidak terlihat. Terdapat juga beberapa dosen yang sering telat untuk masuk kelas. Selain itu juga, hampir setiap pertemuan dosen meminta pengunduran waktu sekitar 15 menit dan ada juga hingga 30 menit. Ada juga dosen yang meminta kelas ganti secara sepihak sehingga agak mengganggu jadwal yang ada. Dosen juga memiliki wawasan pengetahuan yang luas dan juga berkualitas akan tetapi kurang dalam penyampaian materi kepada mahasiswa sehingga beberapa mahasiswa mengalami kesulitan dalam mengikuti pembelajaran.",1
03/12/2022 15:05:35,"Untuk fasilitas lumayan memuaskan, kursi yang masih bisa digunakan dengan baik, ac yang bisa digunakan, proyektor yang sudah diperbaiki, reliability cukup baik, memberikan materi dengan baik membantu untuk memahami yang belum dimengerti, staf yang sabar, parkir yang luas, hanya kurang kantin, beberapa tempat lebih terjaga kebersihannya, sekilas terlihat cantik, dan didalamnya cukup mendukung, tapi masih sulit jaringan, lab yang tersedia sudah tersusun dengan rapi, cuman perlu perbaikan lebih lanjut",4
03/12/2022 15:09:37,"A.Toilet nya bersih dan harum 
    Lab nya bagus dan keren dan unik 
    Parkiran luas dan aman
   Ruang ibdah nya bagus bersih 
B.dosen baik dan disiplin
   Tidak pernah telat TPI ada juga yang telat beberapa dosen aja.                     



C.ramah dan frendly
Tidak individualisme atau egois saling memahami dan membantu sama lain 
Memiliki solidaritas tinggi ,tidak ada nya saling membenci satu sama lain saling bersatu 
D. Sangat membantu mahasiswa apa Lagi masalah bidang akademik
E. kesadaran dan memahami satu sama lain",5
03/12/2022 15:10:35,"Menurut saya, pelayanan yang diberikan fasilkom-ti sangat baik dimana saya selama menempuh pendidikan saya difasilitasi dengan ruangan kelas yang rapi dan bersih. Saya juga sering melihat ruangan rutin dibersihkan setiap hari. Sehingga saya dapat belajar dengan maksimal. Fasilitas seperti ac dan proyektor berfungsi dengan baik. Toiletnya juga sering dibersihkan sehingga tidak menimbulkan bau menyengat sehingga saat hendak buang air kecil, buang air besar atapun sekedar cuci muka tetap terasa nyaman.",4
03/12/2022 15:11:18,"Ruang kuliah di fasilkom-ti nyaman untuk digunakan dalam menunjang pembelajaran. Dimana ruangan kelas memiliki AC yang bekerja dengan baik dan juga tidak ada AC yang rusak sehingga ruangan sangat nyaman digunakan saat pembelajaran. Laboratorium memiliki komputer dengan spesifikasi yang bagus untuk digunakan saat melakukan praktikum, selain itu juga laboratorium menyediakan internet yang cepat sehingga saat melakukan praktikum dan memerlukan penggunaan internet, tidak terjadi kendala. Setiap lantai di fasilkom-ti memiliki toilet yang bersih dimana setiap hari dilakukan pembersihan rutin untuk menjaga kebersihan toilet agar mahasiswa dapat menggunakan toilet dengan nyaman. Kualitas pembelajaran juga sangat baik, dimana dosen memiliki pengetahuan yang tinggi dalam materi yang akan dijelaskan. Selain itu juga, dosen memiliki caranya sendiri untuk melakukan pembelajaran sehingga pembelajaran tidak dilakukan hanya satu arah melainkan mahasiswa turut ambil bagian yang membuat pembejalaran tidak membosankan. Modul yang diberikan juga cukup lengkap dan mudah untuk dipahami. Sehingga mahasiswa dapat mengerti materi yang disampaikan dengan baik. Selain kualitas layanan staf akademik sangat memuaskan dimana staf akademik memberikan segala kebutuhan untuk menunjang kemajuan mahasiswa dalam bidang akademik maupun non akademik ditambah dengan civitas akademik yang selalu ramah tanpa memandang latar belakang.",5
03/12/2022 15:11:26,"Dari Ruang kuliah, lab, toilet, dan ruang ibadah masih kurang memuaskan. Dosen juga banyak yang tidak hadir tepat waktu, bahkan harus membatalkan kuliah dan memindahkan ke jadwal lain, materinya ada yang oke, dan ada yang kurang jelas. Mahasiswa masih baik baik berbicara atau berkomunikasi, inisiatif mahasiswa dan respons mereka masih kurang antar satu sama lain, mahasiswa masih ada yang memiliki sikap menang sendiri, ini membuat beberapa mahasiswa masih sulit untuk berkembang dan tertinggal di belakang.
kesimpulaya fakultas ini masih butuh perbaikan.",1
03/12/2022 15:16:17,"Menurut saya, selama menerima pelayanan akademik selama berkuliah di fasilkom-ti ini, saya merasa kurang puas karena adanya layanan akademik yang terkadang tidak memuaskan pekerjaannya. Ada juga tidak baik dalam segi bersikap, misalnya mengeluh dengan permintaan mahasiswa bahkan terkadang sampai marah marah dengan mahasiswa padahal mahasiswa sendiri tidak memiliki kesalahana dan ada juga kelalaiannya dalam bertugas yang merugikan bagi mahasiswa dan bahkan terkadang menghambat aktivitas mahasiswa",1
03/12/2022 15:16:55,"penilaian saya terhadap layanan akademik yang diberikan oleh Fasilkom-TI USU adalah:
-fasilitas kampus yang saya dapatkan cukup baik dengan kelas yang cukup nyaman, kamar mandi yang bersih, namun tempat ibadah masih minim. 
-keandalan dosen dan staf cukup baik, dosen melakukan proses belajar mengajar dengan baik.
-perlakuan pada mahasiswa kurang baik, seperti dosen pembimbing yang tidak dilaksanakan
-sikap tanggap kurang baik dari fakultas jika mahasiswa dalam mendapatkan keringanan biaya
-pemaham terhadap kepentingan mahasiswa cukup baik ",1
03/12/2022 15:24:14,"fasilitas fisik kampus utk ruang kuliahnya bagus dan nyaman. memiliki AC sehingga tidak kepanasan dan dapat fokus dalam belajar namun beberapa pintu ruangannya saat dibuka mengeluarkan suara yang tidak enak didengar karena lumayan sulit untuk dibuka. utk toilet, toiletnya punya saluran air yang bagus dan lampu nya otomatis yang memudahkan mahasiswa tetapi beberapa wastafel sumbat dan kotor, cermin toilet juga kotor serta lampu toilet meskipun otomatis hanya satu lampu yang berfungsi. lainnya tidak berfungsi dengan kata lain lampunya padam atau mati.",3
03/12/2022 15:25:37,"Selama saya menjalani perkuliahan di fasilkom-ti usu ini, saya sangat puas dan kagum dengan Fakultas berusaha memahami minat dan bakat mahasiswa dan berusaha untuk mengembangkannya. Fakultas sangat peduli dengan minat dan bakat mahasiswa. Di grup wa stambuk, pihak fakultas selalu update tentang perlombaan yang ada dengan mensharing nya di grub wa. Tidak peduli dengan lomba apapun itu baik akademik maupun non akademik. Fakultas juga mendukung makasiswa yang dalam masa persiapan pelombaan dengan baik",5
03/12/2022 15:30:33,"materi yang diberikan dosen sangat bagus dan mudah dipahamin mahasiswa, dosen menjelaskan dengan teliti dan selalu bertanya kepada mahasiswa tiap satu sub bab dijelaskan kepada mahasiswa apakah sudah paham dengan materi atau tidak dan jika tidak dosen akan menjelakan ulang. dosen juga pandai membuat mahasiswa berani untuk memberi jawaban. karena dosennya ramah dan memberi aura positif dengan selalu mengatakan untuk jangan takut memberi jawaban ke depan jika salah akan dibenarkan dan kalaupun salah akan diberikan nilai tambahan yang membuat mahasiswa semakin ingin memberi jawaban atau aktif saat kelas.",4
03/12/2022 15:34:08,"A. Tangibles (Fasilitas Fisik Kampus)
Untuk Fasilitas Fisik Kampus sudah bagus. Tapi untuk alat² yang membantu perkuliahan belum memadai.

B. Reliability (Keandalan Dosen dan Staf Akademik)
Para Dosen dan staff akademik sudah sangat membantu dalam pembelajaran perkuliahan. Tapi masih ada beberapa dosen yang belum bisa menjelaskan materi perkuliqhan dengan jelas.
 
C. Assurance (Perlakuan pada Mahasiswa)
Semua staff dan dosen sangat mengayomi mahasiswa. Tapi ada juga dosen yang menyulitkan mahasiswa.

D. Responsiveness (Sikap Tanggap)
Faskultas sangat tanggao dalam menyelesaikan masalah siswa mau di bidang akademik dan ketidak mampuan biaya. Tapi masih ada kesusahan dalam mengurus berkas.

E. Empathy (Pemahaman Terhadap Kepentingan mahasiswa)
Fakultas peduli dalam memahami kepentingan dan kesulitan mahasiswa

 •  Fakultas sudah mengawasi kemajuan mahasiswa melalui dosen pembimbing akademik atau pun dosen pembimbing

 •  Fakultas sudah berusaha memahami minat dan bakat mahasiswa dan berusaha untuk mengembangkannya lewat ukm-ukm dan organisasi organisasi kampus yang tersedia

Tapi fakultas juga lupa jika terlalu mengembangkan minat dan bakat akan ada hal buruk yang terjadi.",3
03/12/2022 15:43:43,"Menurut saya, fasilitas yang didapatkan di Fasilkom-TI masih sangat tidak memuaskan. Dimulai dari AC di kelas yang terkadang masih kurang dingin, kursi yang dipakai juga tidak nyaman, lalu komputer-komputer lab juga banyak rusak, banyak lantai yang retak-retak, banyak atap yang bocor juga, lantai-lantai nya sering basah sehingga membuat kotor dan bisa membahayakan orang juga karena bisa terpleset. Lampu di toilet juga banyak yang mati sehingga toilet menjadi gelap, wastafel di toilet juga rusak dan tidak menyediakan sabun cuci tangan.",1
03/12/2022 15:48:11,"A. Untuk fasilitasnya sangat bagus dan lengkap bagi saya dan sepengetahuan saya juga
B. Untuk keandalannya , saya belum mempunyai andalan kepada siapa saya andalkan karena saya saat ini adalah orang yang penyendiri dan pendiam
C.perlakuan pada mahasiswa sangat baik baik mahasiswa dengan mahasiswa ataupun dosen dengan mahasiswa dan itu membuat saya senang melihatnya dan perlakuannya
D. Sikap meresponnya sangat bagus dan baik selama ini.. mudah²an sampai saya tamat amin
E.untuk pemahaman nya saya kurang ngerti gimna ni pertanyaan nya..kalo untuk matkul .. saya belum paham-paham kali tapi juga tidak dibilang gagal
",3
03/12/2022 15:56:27,"menurut saya, selama saya di fasilkom ti gedung d sudah cukup baik, ruang kuliah nya nyaman juga, tetapi ada beberapa ruangan yang kdng panas, ac tidak terasa sama sekali, terus toilet ya lumayan la, sudah bersih juga untuk laboraorium nya mungkin sedikit kurang ya, karena banyak komputer yg tidak bisa nyala. terkait aspek pemgajaran yang diberikan dosen juga lumayan, tapi ada beberapa dosen yang jarang masuk menyebabkan materi tidak dpt diterima dengan baik, untuk layanan pengurusan berkas saat ini masih baik, tidak ada masalah apapun.",3
03/12/2022 15:59:52,"
menurut saya, selama saya menerima pelayanan fakultas saya merasa belum puas, dimana perlakuan petugas pelayanan atau staf akademik terhadap mahasiswa tidak ramah, sehingga hal ini membuat mahasiswa takut untuk mengurus sesuatu atau bahkan hanya sekedar bertanya. untuk lama waktunya juga dalam mengurus sesuatu terhitung cukup lama. Fasilitas yang diberika oleh pihak fasilitas cukup memadai. Sikap tanggap staf akademik terhadap urusan mahasiswa masih kurang, begitu juga emphaty terhadap kepentingan mahasiswanya",2
03/12/2022 16:00:08,"menurut saya, selama saya di fasilkom ti gedung d masih kurang cukup baik, ruang kuliah nya nyaman  tapi  beberapa ruangan yang kdng panas, ac tidak terasa sama sekali, terus toilet ya lumayan bersih, juga untuk laboratorium nya mungkin sedikit kurang ya, karena banyak komputer yg tidak bisa nyala. terkait aspek pemgajaran yang diberikan dosen juga lumayan, tapi ada beberapa dosen yang jarang masuk menyebabkan materi tidak dpt diterima dengan baik, ini bukan hanya 1 dosen saja yg seperti ini, ini sbnrnya sangat merungikan sekali karena tidak bisa mendapat materi yang seharusnyaa, untuk layanan pengurusan berkas saat ini mungkin sedikit belum memuaskan karena ada pelayanan yang sedkit lama. contohnya itu seperti krs siswa, terus dielerning nya sks yang ada di krs lama terubahnya padahal saya sudah print buat dikasih dosen pembimbing",4
03/12/2022 16:00:39,Di Fasilkom Ti USU saya merasa sangat senang karena pelayanan fisik yang diberikan memadai dan juga lengkap dan sebentar lagi tempat ibadah bagi muslim akan selesai didirikan. Untuk keadaan dosen yang mengajar sangat menyenangkan dan menarik serta mudah dipahami saat memberikan materi. Assurance terhadap mahasiswa juga baik serta sikap tanggap yang diberikan selalu cepat. Misalnya saat siswa ada kendala respon serta empati yang diberikan begitu sigap. Saya merasa senang bisa berkuliah di Fasilkom Ti USU karena saya rasa hal hal yang ada di Fasilkom Ti USU membantu saya didunia perkuliahan saya.,5
03/12/2022 16:00:46,"Menurut saya, beberapa dosen-dosen di Fasilkom-TI sangat baik dalam hal mengajar, perlakuan dosen juga sangat baik, staf-staf yang bekerja di Fasilkom-TI juga cepat datang jika kita sedang membutuhkan sesuatu dan mereka juga ramah, modul yang diberikan juga bagus dan mudah dipahami. Kalau mahasiswa sedang ingin mengurus berkas-berkas biasanya ditanggapi dan dikerjakan dengan cepat. Mungkin itu saja dulu yang bisa saya sampaikan, Terima Kasih.........................................................",5
